agency_id,route_id,route_long_name,route_short_name,route_type,bus_num,
DIMTS,10007,DW - 5DOWN,,3,DW-5 - Safdurjung Terminal,
DIMTS,782,740SPLDOWN,,3,740SPL - C-1 Janak Puri,
DIMTS,2071,968DOWN,,3,968 - Ranhola II,
DIMTS,825,318UP,,3,318 - Karampura Terminal,
DIMTS,1308,810DOWN,,3,810 - Kendriya Terminal (Church Road),
DIMTS,920,978DOWN,,3,978 - Water Tank (March Shree),
DIMTS,943,199DOWN,,3,199 - Old Delhi Railway Station,
DIMTS,2007,729BUP,,3,729B - Kapashera Border,
DIMTS,1224,764CUP,,3,764C - Vasant Vihar Depot,
DIMTS,2130,119STLUP,,3,119STL - Bawana Sec 1 Cluster Depot,
DIMTS,687,578ADOWN,,3,578A - Kapashera Border,
DIMTS,728,567AUP,,3,567A - Qamruddin Nagar Terminal,
DIMTS,1820,236AUP,,3,236A - Primary School Baprola,
DIMTS,1243,934STLDOWN,,3,934STL - Hari Nagar Depot,
DIMTS,389,836LSTLDOWN,,3,836LSTL - Dichau Kalan Depot,
DIMTS,729,181AUP,,3,181A - Jahangirpuri E-Block,
DIMTS,1512,336AUP,,3,336A - New Seema Puri Depot Cluster,
DIMTS,10008,403DOWN,,3,403 - ISBT Kashmere Gate Terminal,
DIMTS,1846,141UP,,3,141 - Sec-24 Rohini,
DIMTS,1491,425STLDOWN2,,3,425STLDOWN2 - Old Delhi Railway Station,
DIMTS,2101,850LTDUP,,3,850LTD - Ghuman Hera Village,
DIMTS,1153,104UP,,3,104 - Shivaji Stadium Terminal,
DIMTS,717,413DOWN,,3,413 - Nizamuddin Railway Station,
DIMTS,228,722STLUP,,3,722STL - Badu sarai Village,
DIMTS,735,990EDOWN,,3,990E - Bawana Sec 5 Cluster Depot G2,
DIMTS,972,125ADOWN,,3,125A - GTK Depot,
DIMTS,822,78ADOWN,,3,78A - Azadpur Terminal,
DIMTS,1393,124ADOWN,,3,124A - Azadpur Terminal,
DIMTS,10009,246DOWN,,3,246 - Shahdra Border,
DIMTS,1976,962EXTCLUP,,3,962EXTCL - Kanjhawala Depot (Narela Road),
DIMTS,1964,792STLDOWN,,3,792STL - Dwarka Sec 22 Cluster Depot,
DIMTS,10010,130DOWN,,3,130 - DSIDC Office Bawana,
DIMTS,10011,S - 1UP,,3,S-1 - Pandwala Kalan (T),
DIMTS,2103,972EXTUP,,3,972EXT - Mangol Pur School (Kanjhawla Road),
DIMTS,49,120DOWN,,3,120 - Mori Gate Terminal,
DIMTS,1516,205UP,,3,205 - Dilshad Garden Depot Cluster,
DIMTS,2083,956STLDOWN,,3,956STL - New Delhi Railway Station Gate 2,
DIMTS,498,85EXTDOWN,,3,85EXT - Anand Vihar ISBT Terminal,
DIMTS,895,775DOWN,,3,775 - New Delhi Railway Station Gate 2,
DIMTS,1966,CBD2( - )DOWN,,3,CBD2(-) - Tolstoy Marg,
DIMTS,1537,921CLDOWN,,3,921CL - Mori Gate Terminal,
DIMTS,1252,107STLDOWN,,3,107STL - Kanjhawala Village,
DIMTS,224,39STLDOWN,,3,39STL - JLN Stadium (Sunehripulla Depot),
DIMTS,807,781DOWN,,3,781 - New Delhi Railway Station Gate 2,
DIMTS,2032,805ADOWN,,3,805A - ISBT Nityanand Marg,
DIMTS,457,543SPLDOWN,,3,543SPL - Dilshad Garden Depot Cluster,
DIMTS,771,925DOWN,,3,925 - Old Delhi Railway Station,
DIMTS,1441,578LINKSTLUP,,3,578LINKSTL - Najafgarh Terminal,
DIMTS,1050,883UP,,3,883 - Kashmere Gate City Bus Terminal,
DIMTS,13,33STLUP,,3,33STL - Gazipur Depot,
DIMTS,1385,543SPLUP,,3,543SPL - Shahdra Border,
DIMTS,1363,931STLUP,,3,931STL - Bakkarwala Village,
DIMTS,10012,26DOWN,,3,26 - ISBT,
DIMTS,10013,990AUP,,3,990A - Rohini MCD Office,
DIMTS,913,318STLDOWN,,3,318STL - Sarai Kale Khan ISBT Terminal,
DIMTS,2053,536DOWN,,3,536 - I Block Sarojini Nagar,
DIMTS,10014,S - 1STLDOWN,,3,S-1STL - Rewla Khanpur Depot,
DIMTS,1726,827LNKSTLDOWN,,3,827LNKSTL - Kair Depot,
DIMTS,534,221UP,,3,221 - Anand Vihar ISBT Terminal,
DIMTS,911,728DOWN,,3,728 - Nangli Dairy,
DIMTS,1250,578LSTLUP,,3,578LSTL - Najafgarh Terminal,
DIMTS,1454,101BDOWN,,3,101B - Mori Gate Terminal,
DIMTS,1942,727LSTLDOWN,,3,727LSTL - Lodhi Hotel,
DIMTS,1375,926UP,,3,926 - Tikri Border Metro Station,
DIMTS,652,165UP,,3,165 - Shahbad Dairy,
DIMTS,1169,7LNKSTLDOWN,,3,7LNKSTL - Azadpur Terminal,
DIMTS,499,120UP,,3,120 - Mori Gate Terminal,
DIMTS,796,978STLUP,,3,978STL - Samaspur Khalsa,
DIMTS,76,807AEXTDOWN,,3,807AEXT - Nangli Dairy,
DIMTS,2146,979STLUP,,3,979STL - Ranhola II,
DIMTS,1341,886DOWN,,3,886 - Mehrauli Terminal,
DIMTS,1245,340STLUP,,3,340STL - New Seema Puri Depot Cluster,
